feature,mean_abs_shap,rank
F118,0.44895536,1
X025A_01,0.1653153,2
E069_06,0.12515417,3
G052,0.12006564,4
D081,0.097959325,5
E265_01,0.09357791,6
A030,0.09022817,7
X052,0.08363282,8
E236,0.075476885,9
F121,0.073645175,10
A124_09,0.058620166,11
F132,0.055389676,12
E115,0.054521438,13
E114,0.05429895,14
E265_07,0.052009694,15
D078,0.05185265,16
F063,0.05083341,17
E069_13,0.049682517,18
A034,0.049639136,19
E069_01,0.047651887,20
D026_05,0.047094826,21
E224,0.045597415,22
E265_05,0.04516492,23
E069_12,0.044790726,24
E233,0.043668058,25
F115,0.04357053,26
A124_08,0.042734716,27
E235,0.04239001,28
E004,0.042241886,29
E265_03,0.039675437,30
F120,0.039479062,31
F122,0.03904688,32
D059,0.038641457,33
F144_02,0.036925845,34
E069_05,0.036383275,35
A165,0.03591899,36
E026,0.034390055,37
E069_17,0.033065416,38
E228,0.032252986,39
E027,0.032209326,40
X035_EVS5,0.030739741,41
G007_35_B,0.030620009,42
X002,0.029376395,43
F119,0.029150613,44
E265_08,0.02879207,45
A124_02,0.028741976,46
E233B,0.02853522,47
E069_04,0.028471762,48
X013,0.02794686,49
A027,0.02665248,50
E117,0.026450165,51
X003,0.025628144,52
D026_03,0.025588606,53
E025,0.025043169,54
D061,0.023851495,55
F054,0.023764761,56
E265_06,0.023580994,57
E225,0.022598535,58
F028,0.021895241,59
E111_01,0.021080367,60
X025R,0.020942623,61
A124_06,0.020891372,62
E265_04,0.02009479,63
F114A,0.019509217,64
A035,0.018427236,65
E003,0.01834114,66
F117,0.018074742,67
E226,0.017906662,68
A005,0.017461156,69
A040,0.0163517,70
A004,0.016330294,71
F123,0.016029144,72
A029,0.014914039,73
X011,0.0142181115,74
E229,0.013272593,75
E227,0.012580532,76
E265_02,0.011289635,77
A038,0.01095467,78
X007,0.009611987,79
F034,0.009575085,80
A006,0.009233423,81
A042,0.008492273,82
E290,0.007787259,83
D054,0.0076447884,84
E233A,0.0075640623,85
A003,0.007147478,86
A039,0.0070071598,87
X001,0.0064032883,88
F051,0.0063294093,89
F050,0.005913821,90
A124_03,0.0050661433,91
F116,0.0048297006,92
G007_33_B,0.004799353,93
D001_B,0.004787171,94
G007_34_B,0.0047490825,95
G007_36_B,0.0045115137,96
A032,0.004477423,97
D060,0.004349058,98
E069_08,0.0042455583,99
X028,0.0039738324,100
F053,0.0037130865,101
A002,0.003216927,102
E069_14,0.0026241436,103
E028,0.0026087714,104
G007_18_B,0.0024418132,105
A041,0.0015059325,106
A001,0.0014920059,107
