feature,feature_name,mean_abs_shap,rank
F118,Homosexuality justifiability,0.41792864,1
X025A_01,Education level,0.14179537,2
E069_06,Confidence in parties,0.110454395,3
E114,Preference for strong leader,0.11001216,4
D081,Same-sex couples as parents,0.09433082,5
F063,Importance of God,0.09305841,6
D026_05,Child care for parents,0.09262533,7
F050,Belief in God,0.08994344,8
E069_01,Confidence in churches,0.087459646,9
E265_01,Election fairness,0.07817949,10
E236,Democratic governance,0.075316675,11
E228,Equal incomes by state,0.07251867,12
X052,Occupation sector,0.07189513,13
E224,Tax rich to aid poor,0.07182749,14
F121,Justifiability of divorce,0.07170595,15
E265_06,Election officials fair,0.07119552,16
A030,Hard work as value,0.06767742,17
G052,Immigrant impact,0.060181912,18
E069_13,Confidence in companies,0.053914692,19
F034,Religious identity,0.053891465,20
F144_02,F144_02,0.05316085,21
A124_02,A124_02,0.051146183,22
F132,F132,0.048867673,23
F115,F115,0.04838892,24
F028,F028,0.04823523,25
F053,F053,0.046535257,26
E115,E115,0.04593638,27
X035_EVS5,X035_EVS5,0.045524668,28
A034,A034,0.04432789,29
A124_06,A124_06,0.044151843,30
A006,A006,0.043273132,31
E025,E025,0.04130108,32
E003,E003,0.038387164,33
D059,D059,0.037645925,34
E233B,E233B,0.037645716,35
X013,X013,0.036918025,36
E026,E026,0.036885455,37
E229,E229,0.034901507,38
E004,E004,0.034017753,39
D026_03,D026_03,0.032999065,40
A124_09,A124_09,0.032912046,41
F123,F123,0.03199799,42
E069_05,E069_05,0.031402577,43
E265_07,E265_07,0.031226479,44
F114A,F114A,0.031117646,45
A124_03,A124_03,0.03060982,46
X002,X002,0.030563025,47
E069_12,E069_12,0.03018342,48
E069_17,E069_17,0.030039545,49
D078,D078,0.029249595,50
A040,A040,0.026857456,51
F120,F120,0.02596755,52
E265_05,E265_05,0.024999144,53
E225,E225,0.023462148,54
F119,F119,0.02316495,55
X025R,X025R,0.022576068,56
E069_14,E069_14,0.022470236,57
A004,A004,0.02148156,58
E117,E117,0.021227378,59
E027,E027,0.020661773,60
E265_04,E265_04,0.020542042,61
X011,X011,0.02017306,62
A165,A165,0.019610003,63
E235,E235,0.019405553,64
X003,X003,0.01904642,65
F122,F122,0.01885616,66
F051,F051,0.017194165,67
A005,A005,0.017191349,68
E111_01,E111_01,0.016400034,69
A041,A041,0.016368791,70
F116,F116,0.014775997,71
F117,F117,0.012924866,72
E265_03,E265_03,0.011610723,73
E227,E227,0.010971713,74
D054,D054,0.010923533,75
A003,A003,0.0097452365,76
A027,A027,0.009541587,77
F054,F054,0.009519532,78
A039,A039,0.009476297,79
E233A,E233A,0.009302727,80
E233,E233,0.008876463,81
E265_08,E265_08,0.008578975,82
E290,E290,0.008510624,83
G007_35_B,G007_35_B,0.007967284,84
E226,E226,0.0079377545,85
A124_08,A124_08,0.007802409,86
D061,D061,0.007445499,87
G007_36_B,G007_36_B,0.0074179345,88
E028,E028,0.0065234797,89
E265_02,E265_02,0.00642963,90
X028,X028,0.005189981,91
G007_34_B,G007_34_B,0.0048768385,92
E069_04,E069_04,0.004391478,93
G007_18_B,G007_18_B,0.00434766,94
E069_08,E069_08,0.0042633046,95
A042,A042,0.0039980286,96
D060,D060,0.003906306,97
X007,X007,0.0036946852,98
X001,X001,0.0031401285,99
A038,A038,0.0027371508,100
G007_33_B,G007_33_B,0.0025350316,101
D001_B,D001_B,0.0024619522,102
A032,A032,0.002163398,103
A029,A029,0.001870652,104
A001,A001,0.0016609557,105
A002,A002,0.0012724778,106
A035,A035,0.0009816411,107
