variable,dtype
uniqid,int64
cntry,int64
year,int64
lnge_num,float64
pwght,float64
reg_nuts2,object
A001,float64
A002,float64
A003,float64
A004,float64
A005,float64
A006,float64
A008,float64
A173,float64
A170,float64
A027,float64
A029,float64
A030,float64
A032,float64
A034,float64
A035,float64
A038,float64
A039,float64
A040,float64
A041,float64
A042,float64
A065,float64
A066,float64
A067,float64
A068,float64
A071,float64
A072,float64
A074,float64
A078,float64
A079,float64
A080_01,float64
A080_02,float64
A124_02,float64
A124_03,float64
A124_06,float64
A124_08,float64
A124_09,float64
B008,float64
C001,float64
C001_01,float64
C002,float64
C002_01,float64
D081,float64
D026_03,float64
D026_05,float64
C038,float64
C039,float64
C041,float64
D054,float64
D059,float64
D060,float64
D061,float64
D078,float64
E003,float64
E004,float64
Y002,float64
E015,float64
E018,float64
E023,float64
E025,float64
E026,float64
E027,float64
E028,float64
E033,float64
E035,float64
E036,float64
E039,float64
E069_01,float64
E069_04,float64
E069_05,float64
E069_06,float64
E069_08,float64
E069_12,float64
E069_13,float64
E069_14,float64
E069_17,float64
E111_01,float64
E114,float64
E115,float64
E117,float64
E224,float64
E225,float64
E226,float64
E227,float64
E228,float64
E229,float64
E233,float64
E233A,float64
E233B,float64
E235,float64
E236,float64
E263,float64
E264,float64
E265_01,float64
E265_02,float64
E265_03,float64
E265_04,float64
E265_05,float64
E265_06,float64
E265_07,float64
E265_08,float64
F025,float64
F028,float64
F034,float64
F050,float64
F051,float64
F053,float64
F054,float64
F063,float64
F114A,float64
F115,float64
F116,float64
F117,float64
F118,float64
F119,float64
F120,float64
F121,float64
F122,float64
F123,float64
F132,float64
F144_02,float64
E290,float64
A165,float64
D001_B,float64
G007_18_B,float64
G007_33_B,float64
G007_34_B,float64
G007_35_B,float64
G007_36_B,float64
G052,float64
X001,float64
X002,float64
X003,float64
G027A,float64
X002_02A,float64
V002,float64
V001,float64
X007,float64
X011,float64
X013,float64
X025A_01,float64
X025R,float64
X028,float64
X052,float64
X035_EVS5,float64
east_west,int64
